ID,item_cnt_month
0,1.0531693
1,1.0655832
2,1.1897888
3,1.0266268
4,1.127533
5,1.1016982
6,1.0414221
7,1.2838427
8,1.1723703
9,1.2645257
10,1.1200271
11,1.3214188
12,1.387237
13,1.1333551
14,1.167398
15,1.1213417
16,1.0952647
17,1.1711125
18,1.1332319
19,1.0734789
20,1.2763824
21,1.1638391
22,1.0384295
23,1.0907139
24,1.0857109
25,1.1270874
26,1.082525
27,1.073356
28,1.0629852
29,1.117699
30,1.3251212
31,1.0645803
32,1.0815048
33,1.1035509
34,1.1088288
35,1.1127816
36,1.0410852
37,1.1016097
38,1.1002557
39,1.0026155
40,1.1261586
41,1.0696173
42,1.0016942
43,0.98881036
44,1.0473883
45,0.98165417
46,1.1070862
47,1.0167533
48,0.9772513
49,1.1750926
50,1.0233128
51,1.0636805
52,1.0030818
53,1.1113234
54,1.055228
55,1.0387964
56,1.0560815
57,1.036397
58,1.0103198
59,1.0163891
60,1.0482872
61,1.026533
62,1.0716335
63,1.0272443
64,0.9808156
65,1.0170255
66,1.020194
67,1.0406001
68,1.0129215
69,1.0067477
70,1.021418
71,1.0294666
72,1.3234193
73,0.99111223
74,0.9979211
75,1.0248525
76,1.0238839
77,1.0205203
78,0.96431226
79,1.0188892
80,1.0153109
81,0.99653697
82,1.0412138
83,1.0000508
84,1.0531693
85,1.0655832
86,1.1897888
87,1.0266268
88,1.127533
89,1.1016982
90,1.0414221
91,1.2838427
92,1.1723703
93,1.2645257
94,1.1200271
95,1.3214188
96,1.387237
97,1.1333551
98,1.167398
99,1.1213417
100,1.0952647
101,1.1711125
102,1.1332319
103,1.0734789
104,1.2763824
105,1.1638391
106,1.0384295
107,1.0907139
108,1.0857109
109,1.1270874
110,1.082525
111,1.073356
112,1.0629852
113,1.117699
114,1.3251212
115,1.0645803
116,1.0815048
117,1.1035509
118,1.1088288
119,1.1127816
120,1.0410852
121,1.1016097
122,1.1002557
123,1.0026155
124,1.1261586
125,1.0696173
126,1.042264
127,1.054678
128,1.1457459
129,1.0512697
130,1.1142656
131,1.090532
132,1.0305169
133,1.3008826
134,1.1755306
135,1.234612
136,1.0901134
137,1.2915051
138,1.2549558
139,1.2415184
140,1.1397085
141,1.1104364
142,1.0889595
143,1.1221585
144,1.1223266
145,1.0625737
146,1.2735436
147,1.0773975
148,1.0260854
149,1.0958433
150,1.0774095
151,1.1161821
152,1.0716197
153,1.147239
154,1.1819234
155,1.1067938
156,1.3142159
157,1.053675
158,1.0719607
159,1.0988921
160,1.0979235
161,1.0945599
162,1.03018
163,1.0929286
164,1.0893505
165,0.9917103
166,1.1152533
167,1.058712
168,1.4748421
169,1.5290704
170,1.9254951
171,1.4946111
172,1.6473572
173,1.5926775
174,1.5770918
175,2.0089478
176,1.6453459
177,1.8701583
178,2.14566
179,1.9834342
180,1.9069993
181,1.5938174
182,1.7035294
183,1.6123211
184,1.558352
185,1.7876909
186,1.6205329
187,1.5644581
188,2.1256306
189,1.5562288
190,1.3756225
191,1.5842971
192,1.5792942
193,1.6180668
194,1.5735043
195,1.4739091
196,1.4224962
197,1.6086783
198,1.7116458
199,1.4342254
200,1.7657535
201,1.9828235
202,1.533524
203,1.5964444
204,1.5348849
205,1.5948132
206,1.591235
207,1.4742565
208,1.6171381
209,1.5412576
210,1.042264
211,1.054678
212,1.1457459
213,1.0512697
214,1.1142656
215,1.090532
216,1.0305169
217,1.3008826
218,1.1755306
219,1.234612
220,1.0901134
221,1.2915051
222,1.2549558
223,1.2415184
224,1.1397085
225,1.1104364
226,1.0889595
227,1.1221585
228,1.1223266
229,1.0625737
230,1.2735436
231,1.0773975
232,1.0260854
233,1.0958433
234,1.0774095
235,1.1161821
236,1.0716197
237,1.147239
238,1.1819234
239,1.1067938
240,1.3142159
241,1.053675
242,1.0719607
243,1.0988921
244,1.0979235
245,1.0945599
246,1.03018
247,1.0929286
248,1.0893505
249,0.9917103
250,1.1152533
251,1.058712
252,1.4748421
253,1.5290704
254,1.9254951
255,1.4946111
256,1.6473572
257,1.5926775
258,1.5770918
259,2.0089478
260,1.6453459
261,1.8701583
262,2.14566
263,1.9834342
264,1.9069993
265,1.5938174
266,1.7035294
267,1.6123211
268,1.558352
269,1.7876909
270,1.6205329
271,1.5644581
272,2.1256306
273,1.5562288
274,1.3756225
275,1.5842971
276,1.5792942
277,1.6180668
278,1.5735043
279,1.4739091
280,1.4224962
281,1.6086783
282,1.7116458
283,1.4342254
284,1.7657535
285,1.9828235
286,1.533524
287,1.5964444
288,1.5348849
289,1.5948132
290,1.591235
291,1.4742565
292,1.6171381
293,1.5412576
294,1.0016942
295,0.98881036
296,1.0473883
297,0.98165417
298,1.1070862
299,1.0167533
300,0.9772513
301,1.1750926
302,1.0233128
303,1.0636805
304,1.0030818
305,1.1113234
306,1.055228
307,1.0387964
308,1.0560815
309,1.036397
310,1.0103198
311,1.0163891
312,1.0482872
313,1.026533
314,1.0716335
315,1.0272443
316,0.9808156
317,1.0170255
318,1.020194
319,1.0406001
320,1.0129215
321,1.0067477
322,1.021418
323,1.0294666
324,1.3234193
325,0.99111223
326,0.9979211
327,1.0248525
328,1.0238839
329,1.0205203
330,0.96431226
331,1.0188892
332,1.0153109
333,0.99653697
334,1.0412138
335,1.0000508
336,1.0016942
337,0.98881036
338,1.0473883
339,0.98165417
340,1.1070862
341,1.0167533
342,0.9772513
343,1.1750926
344,1.0233128
345,1.0636805
346,1.0030818
347,1.1113234
348,1.055228
349,1.0387964
350,1.0560815
351,1.036397
352,1.0103198
353,1.0163891
354,1.0482872
355,1.026533
356,1.0716335
357,1.0272443
358,0.9808156
359,1.0170255
360,1.020194
361,1.0406001
362,1.0129215
363,1.0067477
364,1.021418
365,1.0294666
366,1.3234193
367,0.99111223
368,0.9979211
369,1.0248525
370,1.0238839
371,1.0205203
372,0.96431226
373,1.0188892
374,1.0153109
375,0.99653697
376,1.0412138
377,1.0000508
378,1.4748421
379,1.5290704
380,1.9254951
381,1.4946111
382,1.6473572
383,1.5926775
384,1.5770918
385,2.0089478
386,1.6453459
387,1.8701583
388,2.14566
389,1.9834342
390,1.9069993
391,1.5938174
392,1.7035294
393,1.6123211
394,1.558352
395,1.7876909
396,1.6205329
397,1.5644581
398,2.1256306
399,1.5562288
400,1.3756225
401,1.5842971
402,1.5792942
403,1.6180668
404,1.5735043
405,1.4739091
406,1.4224962
407,1.6086783
408,1.7116458
409,1.4342254
410,1.7657535
411,1.9828235
412,1.533524
413,1.5964444
414,1.5348849
415,1.5948132
